"id","company","title","sentiment score"
"1005","MediaCityUK","Legal & General arm buys 50 pct stake in MediaCityUK in Manchester","0.379"
"1006","Home Retail Group","Sainsbury's pressed to raise bid for Home Retail Group","0.385"
"1007","ExxonMobil","Buffett's Berkshire builds Deere stake, dumps Exxon","-0.548"
"1008","Aldi","Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...","0.367"
"1009","Glencore","Analysis - Copper market may get a 2003-style supply shock from Glencore closures","-0.605"
"1010","Tesco PLC","Tesco share price: Korean currency slide may hit Homeplus sale plans","-0.367"
"1011","AstraZeneca","AstraZeneca cancer drug may not be so fast getting to market","-0.393"
"1012","Tullow Oil","Tullow Oil Suspends Dividend Amid Oil Price Fall","-0.498"
"1013","Barclays","UPDATE 3-Barclays sells Italian branches to Mediobanca at a loss","-0.637"
"1014","Lemann","Diageo Shares Surge on Report of Possible Takeover by Lemann","0.415"
"1015","Aviva plc","Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger","0.189"
"1016","Friends Life","Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover","0.387"
"1017","Centrica PLC","Centrica suffers protest from shareholders over pay","-0.411"
"1018","Google","Google Fiber to buy Webpass for big city Internet service","0.329"
"1019","Prudential","Is It Worth Investing In Tesco PLC And Prudential plc Now?","0.181"
"1020","Home Retail Group","2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc","0.492"
"1021","Halfords","Halfords appoints Jonny Mason as new CFO","0"
"1022","Precision Castparts Corp.","UPDATE 5-Buffett pays high price for Precision Castparts","0.21"
"1023","Experian","Experian says receives class actions related to T-Mobile breach","-0.698"
"1024","Aviva plc","Market Report: Aviva tops the market as traders approve of its choice of Friends","0.601"
"1025","Aer Lingus","IAG closes in on Aer Lingus with increased offer","0.596"
"1026","Fokker Technologies","GKN to buy Fokker Technologies for 706 mln euros","0.295"
"1027","Baxalta","UPDATE 1-Shire steps up drive to get Baxalta talking after $30 bln bid","0.275"
"1028","Pearson","Pearson in Talks to Sell Its Stake in the Economist Group","0.43"
"1029","Tesco","CompaniesTesco sheds Harris & Hoole coffee shops","0.3"
"1030","BP","REFILE-BP agrees UK gas pipeline stake sale to infrastructur","0.268"
"1031","BHP Billiton","BHP Billiton slashes dividend, posts $5.67 billion net loss","-0.341"
"1032","Standard Chartered PLC","StanChart capital raising would be ""major surprise"" -investor Aberdeen","0.044"
"1033","Wm Morrison","Why I Would Put J Sainsbury plc In My Trolley Before Wm Morrison Supermarkets ...","-0.579"
"1034","Glaxo","Glaxo Sees Hope for Respiratory Drugs as Earnings Beat Estimates","0.534"
"1035","SABMiller","Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller","0.551"
"1036","Aviva plc","BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017","0.439"
"1037","Direct Line Insurance Group PLC","Direct Line rings up higher profit","0.482"
"1038","Barclays","Jim Armitage: Barclays boss Jes Staley steps up to the plate with post-Leave positivity","0.183"
"1039","AstraZeneca","AstraZeneca sells rights to anaesthetics to South Africa's Aspen","0.325"
"1040","GE","GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank","0.211"
"1041","Royal Bank of Scotland Group plc","StanChart and RBS struggle in Bank of England stress tests","-0.738"
"1042","Antofagasta","Antofagasta Sees Lower Cash Costs In 2015 - Quick Facts","0.291"
"1043","NPS","NPS prospects dependent on drug approval","0"
"1044","Priceline","Priceline's stock jumps to new high for the year after Barclays upgrade","0.847"
"1045","Tesco PLC","Tesco leads leap in FTSE 100; Marks & Spencer drops","0.389"
"1046","Tesco PLC","Tesco UK personnel director quits supermarket","-0.223"
"1047","Royal Bank of Scotland Group plc","Royal Bank of Scotland fortunes ebbed and flowed under 3 chiefs","0"
"1048","ExxonMobil","Exxon Beaumont CDU overhaul to be slowed by accident: sources","-0.368"
"1049","TalkTalk","TalkTalk hires BAE Systems to investigate cyber attack","-0.113"
"1050","Valeant Pharmaceuticals International","Valeant Said to Name New CEO With Pearson Still Hospitalized","0.015"
"1051","Entertainment One","ITV to pursue takeover of Canada's Entertainment One: Bloomberg","0.282"
"1052","JP Morgan Chase","Barclays appoints JPMorgan's Paul Compton as new COO","-0.014"
"1053","Rio Tinto","Rio Approves $5.3 Billion Oyu Tolgoi Copper Mine Expansion","0.445"
"1054","Weir Group","Weir Group sees continued fall in orders from oil and gas business","-0.382"
"1055","BG Group","New BG Group CEO Helge Lund Starts Earlier Than Expected","0.043"
"1056","BHP","BHP, Residents Brace as Cyclone Stan Nears Australian Coast","-0.15"
"1057","Glaxo","Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano","0.284"
"1058","Barclays","Barclays brands financier Amanda Staveley's $1bn claim as ""misconceived""","-0.475"
"1059","GlaxoSmithKline","GlaxoSmithKline rebound gathering pace, says outgoing CEO","0.209"
"1060","SABMiller","AB InBev to sell more SAB assets as seeks EU deal approval","-0.079"
"1061","Lloyds Banking Group PLC","UK government cuts stake in Lloyds to below 11 percent","-0.18"
"1062","Morrissons","Morrisons store closures: 900 jobs to go as 11 branches are closed due to ...","-0.2"
"1063","BP","BP chairman defends CEO Bob Dudley's pay increase","0.042"
"1064","Standard Chartered PLC","Profits Fall 25% At Standard Chartered PLC: Should You Buy Or Sell?","-0.649"
"1065","SABMiller","SAB's Chairman Digs In With Board Divided on InBev Offer","0.016"
"1066","Aviva plc","Aviva Fined $27 Million by U.K. Regulator Over Fee Failings","-0.675"
"1067","Whitbread","Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO","0.385"
"1068","Persimmon","Persimmon shares nudge higher as housebuilder sees strong 2014","0.362"
"1069","BG Group","UPDATE 1-BG Group's record output limits oil price fallout","0.146"
"1070","Standard Life","Standard Life share price: Group gets approval to hike stake in India JV","0.336"
"1071","Tesco","Tesco Mobile is offering you cash back in exchange for looking at ads","0.111"
"1072","Wolseley","Wolseley profit up 18%, warns on revenue growth","0.429"
"1073","Entertainment One","ITV share price: Group mulls takeover of Canada's Entertainment One","0.462"
"1074","Blueprint","Blueprint Receives FDA Nod To Proceed With Clinical Trials For 2 Drug ...","0.256"
"1075","SABMiller","SABMiller buys Meantime to quench thirst for craft beer","0.296"
"1076","Royal Bank of Scotland Group plc","Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears","0.102"
"1077","Barclays","After Barclays and Bank of America, Citigroup has blockchain in sight","0.198"
"1078","HSBC","US says HSBC must do more to improve compliance","-0.251"
"1079","China Merchants Group","Carnival Corporation and China Merchants Group Sign Memo of Understanding ...","0.119"
"1080","Barclays","Staley to face challenges at Barclays","-0.219"
"1081","GSK","GSK aims to file up to 20 new drugs for approval by 2020","0.422"
"1082","British American Tobacco plc","British American Tobacco accused of bribing senior politicians to sabotage ...","-0.794"
"1083","BT Group","BT finance director Tony Chanmugam to step down","-0.17"
"1084","AstraZeneca","AstraZeneca to cut costs but stays silent on M&A talk","0.192"
"1085","Berkshire Hathaway Inc.","Buffett's Berkshire builds Deere stake, dumps Exxon","0.031"
"1086","Barclays","Barclays Not Convinced by Gains in South African Stocks: Chart","-0.2"
"1087","BP","5 Years After BP Spill: What's Changed in Offshore Drilling","-0.468"
"1088","AstraZeneca","AstraZeneca Explores Potential Deal With Acerta for Cancer Drug","0.372"
"1089","Alibaba","Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m","0.3"
"1090","Lloyds Banking Group PLC","UK sells more of Lloyds bank stake, 12.5 billion pounds raised so far","-0.263"
"1091","Hargreaves Lansdown","Hargreaves Lansdown share price falls as costs mount - although pensions ...","-0.514"
"1092","Meggitt","Meggitt agrees to buy US aerospace component firm for $340 million","0.216"
"1093","CRH","TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan","0.333"
"1094","Bloomberg","Bloomberg buys Barclays' benchmarking business","0.275"
"1095","Deutsche Bank","Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder","-0.232"
"1096","Royal Bank of Scotland Group plc","Royal Bank of Scotland chair hints Brexit turmoil will delay government sale","-0.358"
"1097","Sainsbury's","Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...","-0.259"
"1098","Berkshire Hathaway Inc.","UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct","0.391"
"1099","Baxalta","Shire Sees Baxalta Deal Closing as Expected After New Rules","0.274"
"1100","AstraZeneca","AstraZeneca heart drug boosted by major clinical trial success","0.572"
"1101","Baxalta","Shire share price under pressure after $32bn Baxalta deal","-0.198"
"1102","Aviva plc","UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers","0.502"
"1103","Glencore","CompaniesGlencore's annual results beat forecasts","0.792"
"1104","Berkshire Hathaway Inc.","Warren Buffett's Berkshire Hathaway quarterly profit jumps almost one third","0.667"
"1105","Pfizer","Pfizer to cut 120 jobs with closure of Cambridge R&D centre","-0.456"
"1106","Sainsbury's","Sainsbury's says to outperform rivals in tough market","0.536"
"1107","Centrica PLC","Centrica share price: British Gas under fire despite 5% price cut","-0.337"
"1108","Sensex","RBI surprises Street; Sensex pares gains after hitting mount 30k","-0.216"
"1109","Barclays","London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls","-0.657"
"1110","EasyJet","easyJet leads Britain's FTSE lower as global bond rout resumes","-0.495"
"1111","SABMiller","AB InBev to Sell SABMiller Stake in China's Snow Beer","-0.045"
"1112","London Stock Exchange Group","Merkel's Government Said to Support Deutsche Boerse-LSE Merger","0.358"
"1113","Tesco PLC","Tesco share price closes higher as two more directors leave grocer","0.354"
"1114","Lazada","Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m","-0.038"
"1115","Barclays","UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change","-0.229"
"1116","Berkshire Hathaway Inc.","Berkshire Bought Apple Stake at $99.49 a Share, Filing Shows","0.057"
"1117","Sainsbury's","Sainsbury CFO Rogers to Replace Home Retail CEO Walden","0"
"1118","Lloyds Banking Group PLC","UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan","-0.266"
"1119","Glencore","Copper Prices up on Glencore Cuts to Zinc Supply","0.541"
"1120","WPP","WPP's Sir Martin Sorrell is highest-paid FTSE 100 chief executive","0.109"
"1121","Meggitt","Meggitt plc Crashes 20% On Profit Warning: Is It Now A Buy?","-0.775"
"1122","Lloyds Banking Group PLC","UK government cuts stake in Lloyds to below 11 pct","-0.596"
"1123","EasyJet","Passengers rise at EasyJet and Aer Lingus","0.329"
"1124","British Airways","Sharm el-Sheikh travel disruption: British Airways, EasyJet, Thomson and ...","-0.6"
"1125","Berkshire Hathaway Inc.","US STOCKS-Wall St rises on Berkshire deal, China stimulus hopes","0.412"
"1126","Prudential Financial","Prudential Financial quarterly profit rises 64 pct","0.95"
"1127","Huawei","US Seeks Huawei Records on Dealings With Sanctioned Nations","-0.388"
"1128","Centrica PLC","Centrica urges policy overhaul as it warns of 'looming gap' in UK energy supplies","-0.172"
"1129","AstraZeneca","UPDATE 1-AstraZeneca potassium drug delayed by manufacturing snag","-0.284"
"1130","London Stock Exchange Group","Activist Fund TCI Backs German Takeover of London Stock Exchange","0.349"
"1131","Royal Dutch Shell","Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...","-0.402"
"1132","Barclays","Four ex-Barclays bankers sentenced for roles in Libor rate-rigging scandal","-0.539"
"1133","AB InBev","AB InBev to sell more SAB assets as seeks EU deal approval","0.193"
"1134","Berkshire Hathaway Inc.","Berkshire applies to boost Wells Fargo stake above 10 percent","0.225"
"1135","Marks & Spencer","Tesco leads leap in FTSE 100; Marks & Spencer drops","-0.347"
"1136","Balfour Beatty plc","Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?)","0.413"
"1137","CIB","UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA","0.148"
"1138","BG Group","BG Group appoints new CEO one month early","0.069"
"1139","Glaxo","FDA panel backs Glaxo asthma drug for adults, not adolescents","0.305"
"1140","Barclays","Barclays set to name former JPMorgan banker Staley as new CEO","0"
"1141","Kingfisher","Kingfisher share price slides on cost to implement new strategy","-0.786"
"1142","Travis Perkins","CompaniesTravis Perkins lifts dividend, earnings rise 15%","0.494"
"1143","Standard Chartered PLC","Standard Chartered Shifts Emerging-Markets Strategy After Losses","-0.461"
